id_lk;nama;slug;wilayah_upt;alamat;provinsi;kota_kab;kelurahan;kecamatan;kode_pos;bentuk_lk;legalitas_perizinan;tahun_izin;link_sk;nilai_akreditasi;tahun_akreditasi;nomor_tanggal_surat;pengelola;nama_pimpinan;izin_perolehan_tsl;pks_dengan_lk_lain
1;TMII (Taman Mini Indonesia Indah);tmii_(taman_mini_indonesia_indah);DKI Jakarta;Jalan Raya Taman Mini, Kelurahan Ceger, Kecamatan Cipayung, Jakarta Timur, DKI Jakarta;DKI Jakarta;Kota Jakarta Timur;Ceger;Cipayung;13820;Taman Satwa;Keputusan Menteri Kehutanan No.172/Kpts-II/2001 jo No.229/Kpts-II/2010 tanggal 15 April 2010;2001;https://drive.google.com/file/d/1-7tHZi2R0HiU3-QH5U56vXqZEDg6u6lB/view?usp=drive_link;B;2012;;Swasta;;;
2;BLUD Taman Margasatwa Ragunan;blud_taman_margasatwa_ragunan;DKI Jakarta;Jalan Harsono RM No.1, Ragunan, Ps. Minggu, Jakarta Selatan;DKI Jakarta;Kota Jakarta Selatan;Ragunan;Pasar Minggu;12550;Kebun Binatang;Keputusan Menteri Kehutanan No.253/Menhut-II/2007 tanggal 6 Agustus 2007;2007;https://drive.google.com/file/d/1-B6oXHsPNkSsOVxDUCSQVyi7laqJ65ge/view?usp=drive_link;B;2011;;Pemda;Drh. Endah Rumiyati, M.Si;Keputusan Direktur Jenderal KSDAE Nomor SK.202/KSDAE/SET.3/KSA.2/11/2022 tentang Persetujuan Perolehan Satwa Liar Untuk Lembaga Konservasi Kepada Taman Margasatwa Ragunan di provinsi Daerah Khusus Ibukota Jakarta;1. Nota Kesepahaman Antara Unit Pengelola Taman Margasatwa Ragunan dengan Lembaga Konservasi PT. Galatta Lestarindo Nomor 236/-1.854 dan Nomor 125/GL/M/II/2021 tanggal 22 Februari 2021 2. Perjanjian Kerja Sama Antara Taman Margasatwa Ragunan dengan Lembaga Konservasi PT. Galatta Lestarindo Nomor 237/-1.854 dan Nomor 126/GL/M/II/2021 tanggal 22 Februari 2021 Mengenai Hibah Satwa
3;CV. Alam Raya Pancur Aji;cv._alam_raya_pancur_aji;Kalimantan Barat;Liku (Munggu' Setapang Pancur Aji) Kelurahan Beringin, Kecamatan Kapuas, Kabupaten Sanggau, Provinsi Kalimantan Barat;Kalimantan Barat;Kabupaten Sanggau;Beringin;Kapuas;78512;Kebun Binatang;Keputusan Menteri Kehutanan No.449/Menhut-II/2004 tanggal 11 November 2004 Jo No.498/Menhut-II/2005 tanggal 21 Desember 2005;2004;https://drive.google.com/file/d/1-HVpFK-8EGafnTPofqxbYBWlUNTCyLMH/view?usp=drive_link;;;;Swasta;;;
4;CV. Andys Antique (Taman Satwa Cikembulan);cv._andys_antique_(taman_satwa_cikembulan);Jawa Barat;Kp. Jati Desa Cikembulan Kec. Kadungora - Garut;Jawa Barat;Kabupaten Garut;Cikembulan;Kadungora;44153;Taman Satwa;Keputusan Menteri Kehutanan No.105/Menhut-IV/2009 tanggal 16 Maret 2009;2009;https://drive.google.com/file/d/1-JQIAHy_vo8VwMU58fu-EPYVORpm1lDw/view?usp=drive_link;C;2013;;Swasta;;;
5;CV. Bali Harmoni (Bali Zoo);cv._bali_harmoni_(bali_zoo);Bali;Jl. Raya Singapadu, Br. Apuan Kel. Singapadu, Kec. Sukawati Kabupaten Gianyar, Bali, 80582 Indonesia;Bali;Kabupaten Gianyar;Singapadu;Sukawati;80582;Taman Satwa;Keputusan Menteri Kehutanan No.68/Kpts-II/2001 tanggal 15 Maret 2001;2001;https://drive.google.com/file/d/1-MC6ifOhiUaGjauvU1Ktku4IXBoHpz8-/view?usp=drive_link;A;2023;S.1412/KSDAE/KKHSG/KSA.2/12/2024 tanggal 27 Desember 2023;Swasta;;;
6;CV. Bali Shell Museum;cv._bali_shell_museum;Bali;Sunset Road, 80361 Kuta Bali;Bali;Kabupaten Badung;Kuta;Kuta;80361;Museum Zoologi;Keputusan Menteri Kehutanan No.630/Menhut-II/2010 tanggal 11 Nopember 2010;2010;https://drive.google.com/file/d/1-NHQZfgZxFK-jwjadc_QHGi8TG5r1OD-/view?usp=drive_link;;;;Swasta;;;
7;CV. Barumun Nagari;cv._barumun_nagari;Sumatera Utara;Jalan WR Supratman Belakang No.51 Padangsidimpuan Kota Sidempuan Sumatera Utara;Sumatera Utara;Kota Padangsidimpuan;Wek II;Padangsidimpuan Utara;22718;Taman Satwa Khusus;Keputusan Menteri LHK 440/Menlhk/Setjen/KSA.2/7/2019 tanggal 10 Juli 2019;2019;https://drive.google.com/file/d/1CVXy7A_jMPz5N5i-TtgrjMU9Wq45TYiu/view?usp=drive_link;;;;Swasta;;;
8;CV. Capital  Wildlife Research and Breeding Center;cv._capital__wildlife_research_and_breeding_center;Sumatera Utara;Jalan Letjen Djamin Ginting Km.45 Sibolangit Kab. Deli Serdang Sumatera Utara;Sumatera Utara;Kabupaten Deli Serdang;Suka Makmur;Sibolangit;20357;Taman Satwa;Keputusan Menteri LHK No.427/Menlhk/Setjen/KSA.2/7/2019 tanggal 8 Juli 2019;2019;https://drive.google.com/file/d/11bm--J-4-4o5VvWs8cjd44XS81heG7VE/view?usp=drive_link;;;;Swasta;;;
9;CV. Citra Pesona Ladangku;cv._citra_pesona_ladangku;Sumatera Utara;Desa Durin Tonggal Kec. Pancur Batu Kab. Deli Serdang Sumatera Utara;Sumatera Utara;Kabupaten Deli Serdang;Dorin Tonggal;Pancur Batu;20353;Taman satwa;Keputusan Menteri Kehutanan No.235/Menhut-II/2012 tanggal 10 Mei 2012;2012;https://drive.google.com/file/d/1-SuC54-o2WT54KnDqrqj22iZQjzh03G-/view?usp=drive_link;;;;Swasta;;;
10;CV. Citra Satwa Celebes (Bontomarumu Education Park);cv._citra_satwa_celebes_(bontomarumu_education_park);Sulawesi Selatan;Desa Sokkolia, Kecamatan Bontomarannu, Kabupaten Gowa, Provinsi Sulawesi Selatan;Sulawesi Selatan;Kabupaten Gowa;Sokkolia;Bontomarannu;92171;Taman satwa;Keputusan Kepala BKPM No.1/1/ILK/PMDN/2016 tanggal 24 Juni 2016;2016;https://drive.google.com/file/d/13O0H2gVBVGWAZRBR6BPVu7GqrzkcVWov/view?usp=drive_link;;;;Swasta;;;
