Kelas,Endemik/Eksotik,Status Perlindungan,Nama Lokal,Nama Ilmiah,Genus,Spesies,Sub Spesies
Aves,Endemik,Dilindungi,Alap-alap Nippon,Accipiter gularis,Accipiter,Accipiter gularis,
Aves,Endemik,Dilindungi,Julang Sulawesi,Aceros cassidix,Aceros,Aceros cassidix,
Aves,Endemik,Dilindungi,Julang Dompet,Aceros Subaruficolis,Aceros,Aceros Subaruficolis,
Aves,Endemik,Dilindungi,Julang Emas,Aceros undulatus,Aceros,Aceros undulatus,
Aves,Endemik,Dilindungi,Jalak Putih,Acridotheres melanopterus,Acridotheres,Acridotheres melanopterus,
Aves,Endemik,Dilindungi,Nuri Raja Ambon,Alisterus amboinensis,Alisterus,Alisterus amboinensis,
Aves,Endemik,Dilindungi,Kangkareng Perut Putih,Anthracoceros albirostris,Anthracoceros,Anthracoceros albirostris,
Aves,Endemik,Dilindungi,Kangkareng Perut Putih,Anthracoceros convexus,Anthracoceros,Anthracoceros convexus,
Aves,Endemik,Dilindungi,Cangak Leher Ular,Ardea purpurea,Ardea,Ardea purpurea,
Aves,Endemik,Dilindungi,Cangak laut,Ardea sumatrana,Ardea,Ardea sumatrana,
Aves,Endemik,Dilindungi,Kuau Raja,Argusianus argus,Argusianus,Argusianus argus,
Aves,Endemik,Dilindungi,Burung Hantu Beluk Jampuk,Bubo sumatranus,Bubo,Bubo sumatranus,
Aves,Endemik,Dilindungi,Rangkong Badak,Buceros rhinoceros,Buceros,Buceros rhinoceros,
Aves,Endemik,Dilindungi,Rangkong Badak Borneo,Buceros rhinoceros borneoensis,Buceros,Buceros rhinoceros,borneoensis
Aves,Endemik,Dilindungi,Kakatua Alba,Cacatua alba,Cacatua,Cacatua alba,
Aves,Endemik,Dilindungi,Kakatua Jambul Kuning Medium,Cacatua galerita,Cacatua,Cacatua galerita,
Aves,Endemik,Dilindungi,Kakatua Jambul Kuning,Cacatua galerita,Cacatua,Cacatua galerita,
Aves,Endemik,Dilindungi,Kakatua Koki,Cacatua galerita triton,Cacatua,Cacatua galerita,triton
Aves,Endemik,Dilindungi,Kakatua Goffin,Cacatua goffiniana,Cacatua,Cacatua goffiniana,
Aves,Endemik,Dilindungi,Kakatua Maluku,Cacatua moluccensis,Cacatua,Cacatua moluccensis,
Aves,Endemik,Dilindungi,Kakatua Rawa,Cacatua sanguinea,Cacatua,Cacatua sanguinea,
Aves,Endemik,Dilindungi,Kakatua Jambul Kuning,Cacatua sulphurea,Cacatua,Cacatua sulphurea,
Aves,Endemik,Dilindungi,Kakatua Jambul Oranye,Cacatua sulphurea citrinocristata,Cacatua,Cacatua sulphurea ,citrinocristata
Aves,Endemik,Dilindungi,Kakatua Jambul Kuning Kecil,Cacatua sulphurea sulphurea,Cacatua,Cacatua sulphurea,sulphurea
Aves,Endemik,Dilindungi,Junai Emas,Caloenas nicobarica,Caloenas,Caloenas nicobarica,
Aves,Endemik,Dilindungi,Kasuari,Casuarina sp.,Casuarina,Casuarina sp.,
Aves,Endemik,Dilindungi,Kasuari Gelambir Ganda,Casuarius casuarius,Casuarius,Casuarius casuarius,
Aves,Endemik,Dilindungi,Kasuari Gelambir Satu,Casuarius unappendiculatus,Casuarius,Casuarius unappendiculatus,
Aves,Endemik,Dilindungi,Nuri Hitam,Chalcopsitta atra,Chalcopsitta,Chalcopsitta atra,
Aves,Endemik,Dilindungi,Nuri Coklat,Chalcopsitta duivenbodei,Chalcopsitta,Chalcopsitta duivenbodei,
Aves,Endemik,Dilindungi,Perkici Dagu Merah,Charmosyna placentis,Charmosyna,Charmosyna placentis,
Aves,Endemik,Dilindungi,Namdur Coklat,Chlamydera cerviniventris,Chlamydera,Chlamydera cerviniventris,
Aves,Endemik,Dilindungi,Cucak Ranting ,Chloropsis conchinchinensis,Chloropsis,Chloropsis conchinchinensis,
Aves,Endemik,Dilindungi,Cucak Hijau,Chloropsis sonnerati,Chloropsis,Chloropsis sonnerati,
Aves,Endemik,Dilindungi,Cucak Rantai,Chloropsis venusta,Chloropsis,Chloropsis venusta,
Aves,Endemik,Dilindungi,Cendrawasih Raja,Cicinnurus regius,Cicinnurus,Cicinnurus regius,
Aves,Endemik,Dilindungi,Ekek Geling,Cissa thallassina,Cissa,Cissa thallassina,
Aves,Endemik,Dilindungi,Murai Batu,Copsychus malabaricus,Copsychus,Copsychus malabaricus,
Aves,Endemik,Dilindungi,Gagak,Corvus corax linnaeus,Corvus,Corvus corax ,linnaeus
Aves,Endemik,Dilindungi,Gagak Sulawesi,Corvus typicus,Corvus,Corvus typicus,
Aves,Endemik,Dilindungi,Tangkar Centrong,Crypsirina temia,Crypsirina,Crypsirina temia,
Aves,Endemik,Dilindungi,Nuri Ara Dada Jingga,Cyclopsitta gulielmitertii,Cyclopsitta,Cyclopsitta gulielmitertii,
